region,ds,y,calendar_ds
basilicata,2012-12-02,1.45,2013-11-24
basilicata,2012-12-09,1.34,2013-12-01
basilicata,2012-12-16,1.53,2013-12-08
basilicata,2012-12-23,4.52,2013-12-15
basilicata,2012-12-30,2.21,2013-12-29
basilicata,2013-01-06,1.74,2014-01-05
basilicata,2013-01-13,1.94,2014-01-12
basilicata,2013-01-20,5.42,2014-01-26
basilicata,2013-01-27,5.02,2014-02-02
basilicata,2013-02-03,6.75,2014-02-09
basilicata,2013-02-10,8.9,2014-02-16
basilicata,2013-02-17,5.35,2014-02-23
basilicata,2013-02-24,8.23,2014-03-02
basilicata,2013-03-03,4.53,2014-03-09
basilicata,2013-03-10,0.65,2014-03-16
basilicata,2013-03-17,1.3,2014-03-23
basilicata,2013-03-24,3.78,2014-03-30
basilicata,2013-03-31,0.65,2014-04-06
basilicata,2013-04-07,0.65,2014-04-13
basilicata,2013-04-14,0.65,2014-04-20
basilicata,2013-04-21,0.0,2014-04-27
basilicata,2013-04-28,0.0,2014-11-09
basilicata,2013-05-05,0.0,2014-11-16
basilicata,2013-05-12,0.0,2014-11-23
basilicata,2013-05-19,0.42,2014-11-30
basilicata,2013-05-26,0.54,2014-12-07
basilicata,2013-06-02,0.78,2014-12-14
basilicata,2013-06-09,1.24,2014-12-21
basilicata,2013-06-16,0.99,2014-12-28
basilicata,2013-06-23,4.77,2015-01-04
basilicata,2013-06-30,2.69,2015-01-11
basilicata,2013-07-07,8.49,2015-01-18
basilicata,2013-07-14,7.5,2015-01-25
basilicata,2013-07-21,6.18,2015-02-01
basilicata,2013-07-28,6.29,2015-02-08
basilicata,2013-08-04,6.87,2015-02-15
basilicata,2013-08-11,12.54,2015-02-22
basilicata,2013-08-18,9.03,2015-03-01
basilicata,2013-08-25,3.7,2015-03-08
basilicata,2013-09-01,6.43,2015-03-15
basilicata,2013-09-08,4.19,2015-03-22
basilicata,2013-09-15,9.15,2015-03-29
basilicata,2013-09-22,11.27,2015-04-05
basilicata,2013-09-29,14.96,2015-04-12
basilicata,2013-10-06,3.18,2015-04-19
basilicata,2013-10-13,2.71,2015-04-26
basilicata,2013-10-20,0.0,2015-11-01
basilicata,2013-10-27,0.0,2015-11-08
basilicata,2013-11-03,3.55,2015-11-15
basilicata,2013-11-10,1.02,2015-11-22
basilicata,2013-11-17,2.13,2015-11-29
basilicata,2013-11-24,3.25,2015-12-06
basilicata,2013-12-01,5.61,2015-12-13
basilicata,2013-12-08,4.34,2015-12-20
basilicata,2013-12-15,3.3,2015-12-27
basilicata,2013-12-22,2.74,2016-01-03
basilicata,2013-12-29,2.88,2016-01-10
basilicata,2014-01-05,10.59,2016-01-17
basilicata,2014-01-12,2.7,2016-01-24
basilicata,2014-01-19,10.67,2016-01-31
basilicata,2014-01-26,8.43,2016-02-07
basilicata,2014-02-02,4.93,2016-02-14
basilicata,2014-02-09,7.4,2016-02-21
basilicata,2014-02-16,17.85,2016-02-28
basilicata,2014-02-23,4.93,2016-03-06
basilicata,2014-03-02,6.99,2016-03-13
basilicata,2014-03-09,15.19,2016-03-20
basilicata,2014-03-16,22.08,2016-03-27
basilicata,2014-03-23,11.08,2016-04-03
basilicata,2014-03-30,4.02,2016-04-10
basilicata,2014-04-06,4.69,2016-04-17
basilicata,2014-04-13,14.23,2016-04-24
basilicata,2014-04-20,0.11,2016-11-06
basilicata,2014-04-27,1.08,2016-11-13
basilicata,2014-05-04,0.71,2016-11-20
