model,horizon,MAE,RMSE,sMAPE,MASE,WIS,CRPS,PinballLoss,Coverage95,Coverage95_Dist,origin
Chronos-V2,2,0.07185546875000004,0.07185546875000004,11.666217437491087,0.04115977500550785,0.047663408362347164,0.049179885864257825,0.02383170418117358,1.0,0.050000000000000044,2006-12-10 00:00:00
Chronos-V2,2,7.1166406250000005,7.1166406250000005,123.7315186460477,4.076507077550121,4.39700528352157,5.014961895751955,2.1985026417607854,1.0,0.050000000000000044,2007-01-07 00:00:00
Chronos-V2,2,4.358125,4.358125,48.97285528672262,2.4963923771755896,2.1860644663935123,2.4431729431152345,1.0930322331967561,1.0,0.050000000000000044,2007-02-04 00:00:00
Chronos-V2,2,0.003242187499999938,0.003242187499999938,0.24531898857640622,0.001857168429169385,0.08814138661260192,0.08525613403320313,0.04407069330630096,1.0,0.050000000000000044,2007-03-04 00:00:00
Chronos-V2,2,0.31257812499999993,0.31257812499999993,20.64978968284689,0.1790489369905265,0.1744833772078804,0.19074526367187497,0.0872416886039402,1.0,0.050000000000000044,2007-04-01 00:00:00
Chronos-V2,2,0.02375000000000016,0.02375000000000016,1.1407985589913014,0.013604318131747173,0.07751210088315218,0.07779306640625,0.038756050441576095,1.0,0.050000000000000044,2007-04-29 00:00:00
Chronos-V2,2,0.1405078125000001,0.1405078125000001,9.6884974344471,0.08048475710508929,0.0811977220618207,0.08703439941406255,0.04059886103091035,1.0,0.050000000000000044,2007-05-27 00:00:00
Chronos-V2,2,0.24578124999999995,0.24578124999999995,35.257200493107696,0.14078679224498786,0.15509990526282266,0.173365298461914,0.07754995263141132,1.0,0.050000000000000044,2007-06-24 00:00:00
Chronos-V2,2,0.19732421874999995,0.19732421874999995,23.453623205227903,0.11302995566204006,0.13699098172395122,0.15175893020629877,0.06849549086197561,1.0,0.050000000000000044,2007-07-22 00:00:00
Chronos-V2,2,0.29886718749999996,0.29886718749999996,19.151199609516777,0.17119512833223174,0.16888942552649455,0.18788874511718748,0.08444471276324728,1.0,0.050000000000000044,2007-08-19 00:00:00
Chronos-V2,2,0.047343749999999574,0.047343749999999574,0.946180148953104,0.0271191341705219,0.26284636124320654,0.2785414550781249,0.13142318062160327,1.0,0.050000000000000044,2007-09-16 00:00:00
Chronos-V2,2,1.8212499999999991,1.8212499999999991,17.97988523477509,1.0432363956818678,1.0045410156249994,1.1110962890624998,0.5022705078124998,1.0,0.050000000000000044,2007-10-14 00:00:00
Chronos-V2,2,0.5242968750000001,0.5242968750000001,13.590384868520978,0.3003242729676141,0.2891149902343751,0.31700476074218753,0.1445574951171875,1.0,0.050000000000000044,2007-11-11 00:00:00
Chronos-V2,2,0.0924218750000001,0.0924218750000001,7.791352454967574,0.05294048799295004,0.0629343580163044,0.06584775390625006,0.03146717900815219,1.0,0.050000000000000044,2007-12-09 00:00:00
Chronos-V2,2,0.10597656249999998,0.10597656249999998,18.495415345809043,0.06070479455827274,0.062194854072902504,0.06621038665771484,0.031097427036451256,1.0,0.050000000000000044,2008-01-06 00:00:00
Chronos-V2,2,0.04220703125000003,0.04220703125000003,5.695160036368911,0.02417675286406699,0.036030986620032276,0.03545638580322266,0.01801549331001614,1.0,0.050000000000000044,2008-02-03 00:00:00
Chronos-V2,2,0.4534765624999999,0.4534765624999999,28.579165692199744,0.2597574493280458,0.2735863461701766,0.30469129638671866,0.13679317308508834,1.0,0.050000000000000044,2008-03-02 00:00:00
Chronos-V2,2,0.2589062499999999,0.2589062499999999,8.628635405004292,0.14830496805463753,0.1526047150985054,0.16544597167968744,0.07630235754925271,1.0,0.050000000000000044,2008-03-30 00:00:00
Chronos-V2,2,0.5753125000000008,0.5753125000000008,6.1581174424244525,0.3295467063229791,0.5007961107336958,0.5335556640625003,0.2503980553668479,1.0,0.050000000000000044,2008-04-27 00:00:00
Chronos-V2,2,0.008281249999999574,0.008281249999999574,0.20621364511797863,0.00474361092751683,0.19856726604959235,0.20859519042968747,0.09928363302479619,1.0,0.050000000000000044,2008-05-25 00:00:00
Chronos-V2,2,0.0540624999999999,0.0540624999999999,4.754706609866695,0.030967724168318958,0.048954335088315204,0.049545214843749984,0.024477167544157605,1.0,0.050000000000000044,2008-06-22 00:00:00
Chronos-V2,2,0.13447265625,0.13447265625,25.9983007646559,0.07702773876404494,0.07544042483620021,0.08084286813735962,0.037720212418100106,1.0,0.050000000000000044,2008-07-20 00:00:00
Chronos-V2,2,0.03656250000000005,0.03656250000000005,5.162144275314369,0.020943489755452772,0.03275474216627039,0.03229609985351564,0.0163773710831352,1.0,0.050000000000000044,2008-08-17 00:00:00
Chronos-V2,2,0.03570312499999995,0.03570312499999995,2.68878886829641,0.0204512282441066,0.053870610776154876,0.05476575927734374,0.02693530538807745,1.0,0.050000000000000044,2008-09-14 00:00:00
Chronos-V2,2,0.298359375,0.298359375,8.131500782489274,0.1709042465300727,0.23127053965692934,0.24709875488281255,0.1156352698284647,1.0,0.050000000000000044,2008-10-12 00:00:00
Chronos-V2,2,1.6889062500000005,1.6889062500000005,19.378086931578807,0.9674281229345674,0.9458462126358699,1.0597935546875001,0.472923106317935,1.0,0.050000000000000044,2008-11-09 00:00:00
Chronos-V2,2,0.7732812500000001,0.7732812500000001,10.631693143857616,0.4429458581185284,0.5114138926630435,0.5534216796875001,0.2557069463315218,1.0,0.050000000000000044,2008-12-07 00:00:00
Chronos-V2,2,0.08171874999999984,0.08171874999999984,3.6796003799204913,0.04680959462436651,0.11309875488281247,0.1169174438476562,0.05654937744140624,1.0,0.050000000000000044,2009-01-04 00:00:00
Chronos-V2,2,0.14625,0.14625,25.080385852090032,0.08377395902181096,0.09393040200938349,0.09955954742431641,0.04696520100469175,1.0,0.050000000000000044,2009-02-01 00:00:00
Chronos-V2,2,0.03800781249999996,0.03800781249999996,5.516342092581563,0.02177138411544391,0.04644967120626698,0.04259967346191407,0.023224835603133497,1.0,0.050000000000000044,2009-03-01 00:00:00
Chronos-V2,2,0.015546875000000071,0.015546875000000071,1.088889496867396,0.008905458250716057,0.07262325121008831,0.07122455444335939,0.03631162560504417,1.0,0.050000000000000044,2009-03-29 00:00:00
Chronos-V2,2,0.14164062499999996,0.14164062499999996,4.902451225612805,0.08113364727913636,0.1788851265285326,0.188471044921875,0.08944256326426632,1.0,0.050000000000000044,2009-04-26 00:00:00
Chronos-V2,2,0.4157812500000002,0.4157812500000002,6.1891637302445695,0.23816506939854606,0.46380434782608704,0.49277949218750006,0.2319021739130435,1.0,0.050000000000000044,2009-05-24 00:00:00
Chronos-V2,2,0.3657812500000004,0.3657812500000004,8.115650621414092,0.20952439964749967,0.21951182489809798,0.2381688964843752,0.10975591244904899,1.0,0.050000000000000044,2009-06-21 00:00:00
Chronos-V2,2,0.19093749999999998,0.19093749999999998,9.025777383854052,0.10937155761180876,0.13128104831861412,0.13921940917968753,0.06564052415930707,1.0,0.050000000000000044,2009-07-19 00:00:00
Chronos-V2,2,0.29169921875,0.29169921875,48.95517495697779,0.16708921981714034,0.20676398235818616,0.2290294372558593,0.10338199117909308,1.0,0.050000000000000044,2009-08-16 00:00:00
Chronos-V2,2,0.08441406250000005,0.08441406250000005,10.994378163872714,0.04835350572813398,0.06474355282990832,0.0656569488525391,0.03237177641495415,1.0,0.050000000000000044,2009-09-13 00:00:00
Chronos-V2,2,0.12003906250000007,0.12003906250000007,8.110640431793295,0.06875998292575461,0.08140981922978943,0.08561046752929692,0.04070490961489472,1.0,0.050000000000000044,2009-10-11 00:00:00
Chronos-V2,2,0.14468749999999986,0.14468749999999986,3.6012911756698913,0.0828789380920907,0.18884298573369565,0.19708886718749993,0.09442149286684783,1.0,0.050000000000000044,2009-11-08 00:00:00
Chronos-V2,2,1.13875,1.13875,10.213576994226134,0.6522912535800837,0.6973575492527174,0.7488850585937501,0.3486787746263587,1.0,0.050000000000000044,2009-12-06 00:00:00
Chronos-V2,2,0.20828124999999975,0.20828124999999975,3.8816009784080445,0.11930628993170288,0.3215543265964673,0.334182470703125,0.16077716329823372,1.0,0.050000000000000044,2010-01-03 00:00:00
Chronos-V2,2,0.39593750000000005,0.39593750000000005,15.009180832790383,0.2267983035910994,0.2569090735394022,0.27395639648437503,0.1284545367697011,1.0,0.050000000000000044,2010-01-31 00:00:00
Chronos-V2,2,0.03759765625,0.03759765625,5.141903171953255,0.02153644112139238,0.03989881432574728,0.03916168212890626,0.019949407162873644,1.0,0.050000000000000044,2010-02-28 00:00:00
Chronos-V2,2,0.05738281249999999,0.05738281249999999,7.2756989673361225,0.03286964364397444,0.045969019350798224,0.04449453430175782,0.022984509675399122,1.0,0.050000000000000044,2010-03-28 00:00:00
Chronos-V2,2,0.20406250000000004,0.20406250000000004,15.553173752530668,0.11688973342145849,0.12311386771824051,0.1334335388183594,0.06155693385912027,1.0,0.050000000000000044,2010-04-25 00:00:00
Chronos-V2,2,0.4600781249999999,0.4600781249999999,21.908074626588043,0.26353891275611363,0.2994184676460597,0.3364616455078125,0.1497092338230299,1.0,0.050000000000000044,2010-05-23 00:00:00
