model,season,horizon,true_peak_date,pred_peak_date,peak_timing_error_weeks,true_peak_val,pred_peak_val,peak_intensity_error_abs,peak_intensity_error_rel
MovingAverage,2012-2013,latest,2013-02-10,2013-04-21,10.0,9.98,3.4967307692307696,6.483269230769231,-0.6496261754277787
MovingAverage,2013-2014,latest,2014-02-09,2013-10-27,-15.0,6.62,3.4967307692307696,3.1232692307692305,-0.47179293516151516
MovingAverage,2014-2015,latest,2015-01-25,2015-04-19,12.0,10.87,3.397884615384615,7.472115384615384,-0.6874071190998513
MovingAverage,2015-2016,latest,2016-02-28,2016-04-17,7.0,6.14,3.461538461538462,2.6784615384615376,-0.43623152092207457
MovingAverage,2016-2017,latest,2017-01-01,2016-11-06,-8.0,9.57,3.480769230769232,6.089230769230769,-0.6362832569729121
MovingAverage,2017-2018,latest,2018-01-14,2018-04-22,14.0,14.73,4.425192307692308,10.304807692307692,-0.6995796125124027
MovingAverage,2018-2019,latest,2019-02-03,2019-04-21,11.0,14.06,5.256153846153846,8.803846153846155,-0.6261625998468104
MovingAverage,2019-2020,latest,2020-02-02,2019-10-27,-14.0,12.62,5.256153846153846,7.363846153846153,-0.5835060343776667
MovingAverage,2020-2021,latest,2020-11-08,2020-10-25,-2.0,2.04,4.945192307692308,2.9051923076923076,1.4241138763197587
MovingAverage,2021-2022,latest,2022-04-03,2021-12-05,-17.0,5.29,3.1646153846153853,2.1253846153846148,-0.4017740293732731
MovingAverage,2022-2023,latest,2022-12-04,2023-04-23,20.0,15.72,6.4265384615384615,9.293461538461539,-0.5911871207672734
MovingAverage,2023-2024,latest,2023-12-31,2024-04-21,16.0,18.45,8.99173076923077,9.458269230769229,-0.5126433187408796
MovingAverage,2024-2025,latest,2025-01-26,2025-02-23,4.0,17.3743081984728,9.062841543049466,8.311466655423335,-0.4783768401296065
Naive,2008-2009,latest,2009-01-25,2009-02-15,3.0,8.23,6.64,1.5900000000000007,-0.19319562575941684
Naive,2009-2010,latest,2009-11-15,2009-11-22,1.0,12.92,12.92,0.0,0.0
Naive,2010-2011,latest,2011-02-06,2011-01-30,-1.0,11.04,8.2,2.84,-0.25724637681159424
Naive,2011-2012,latest,2012-02-05,2012-02-26,3.0,9.63,7.13,2.500000000000001,-0.2596053997923157
Naive,2012-2013,latest,2013-02-10,2013-02-24,2.0,9.98,9.71,0.2699999999999996,-0.027054108216432823
Naive,2013-2014,latest,2014-02-09,2014-02-23,2.0,6.62,6.22,0.40000000000000036,-0.06042296072507558
Naive,2014-2015,latest,2015-01-25,2015-01-25,0.0,10.87,8.94,1.9299999999999997,-0.17755289788408463
Naive,2015-2016,latest,2016-02-28,2016-02-21,-1.0,6.14,6.06,0.08000000000000007,-0.013029315960912065
Naive,2016-2017,latest,2017-01-01,2017-01-29,4.0,9.57,7.61,1.96,-0.20480668756530823
Naive,2017-2018,latest,2018-01-14,2018-01-28,2.0,14.73,13.87,0.8600000000000012,-0.05838424983027842
Naive,2018-2019,latest,2019-02-03,2019-02-24,3.0,14.06,11.2,2.860000000000001,-0.2034139402560456
Naive,2019-2020,latest,2020-02-02,2020-02-23,3.0,12.62,10.72,1.8999999999999986,-0.15055467511885884
Naive,2020-2021,latest,2020-11-08,2020-11-29,3.0,2.04,1.84,0.19999999999999996,-0.09803921568627448
Naive,2021-2022,latest,2022-04-03,2022-01-02,-13.0,5.29,4.72,0.5700000000000003,-0.10775047258979212
Naive,2022-2023,latest,2022-12-04,2023-01-01,4.0,15.72,14.03,1.6900000000000013,-0.10750636132315529
Naive,2023-2024,latest,2023-12-31,2023-12-31,0.0,18.45,18.21,0.23999999999999844,-0.013008130081300728
Naive,2024-2025,latest,2025-01-26,2025-01-26,0.0,17.3743081984728,16.0511595409532,1.3231486575195994,-0.07615547292040693
Prophet,2008-2009,latest,2009-01-25,2009-02-15,3.0,8.23,1.015727006642395,7.214272993357605,-0.8765823807238888
Prophet,2009-2010,latest,2009-11-15,2009-12-27,6.0,12.92,5.101423691998024,7.818576308001976,-0.6051529650156329
Prophet,2010-2011,latest,2011-02-06,2010-12-26,-6.0,11.04,6.973013036615946,4.066986963384053,-0.3683865003065266
Prophet,2011-2012,latest,2012-02-05,2011-10-30,-14.0,9.63,5.764421138630985,3.8655788613690154,-0.401410058293771
Prophet,2012-2013,latest,2013-02-10,2012-12-09,-9.0,9.98,6.545477879218744,3.4345221207812564,-0.34414049306425415
Prophet,2013-2014,latest,2014-02-09,2014-04-27,11.0,6.62,5.074093033690641,1.5459069663093592,-0.23352068977482768
Prophet,2014-2015,latest,2015-01-25,2014-10-26,-13.0,10.87,5.539548111014774,5.330451888985225,-0.4903819585083004
Prophet,2015-2016,latest,2016-02-28,2016-04-24,8.0,6.14,4.928950989083059,1.2110490109169403,-0.19723925259233557
Prophet,2016-2017,latest,2017-01-01,2016-10-30,-9.0,9.57,4.790867600370783,4.779132399629217,-0.49938687561433825
Prophet,2017-2018,latest,2018-01-14,2018-04-01,11.0,14.73,5.187350102981535,9.542649897018466,-0.6478377391051232
Prophet,2018-2019,latest,2019-02-03,2018-12-02,-9.0,14.06,5.094358330289958,8.965641669710042,-0.6376701045312974
Prophet,2019-2020,latest,2020-02-02,2020-02-02,0.0,12.62,5.025727075314417,7.5942729246855825,-0.6017648910210446
Prophet,2020-2021,latest,2020-11-08,2020-12-20,6.0,2.04,5.447459313330873,3.4074593133308726,1.6703231928092512
Prophet,2021-2022,latest,2022-04-03,2022-01-09,-12.0,5.29,5.781494055416642,0.49149405541664226,0.09291002937932746
Prophet,2022-2023,latest,2022-12-04,2022-12-04,0.0,15.72,5.330955832332823,10.389044167667176,-0.660880672243459
Prophet,2023-2024,latest,2023-12-31,2024-03-31,13.0,18.45,7.283345891688436,11.166654108311564,-0.6052387050575373
Prophet,2024-2025,latest,2025-01-26,2025-04-13,11.0,17.3743081984728,8.768108393894789,8.606199804578011,-0.49534057450037033
Ridge,2008-2009,latest,2009-01-25,2009-02-15,3.0,8.23,5.216498764415295,3.0135012355847053,-0.3661605389531841
Ridge,2009-2010,latest,2009-11-15,2009-11-22,1.0,12.92,11.015851855973985,1.9041481440260153,-0.14737988730851512
Ridge,2010-2011,latest,2011-02-06,2011-02-06,0.0,11.04,9.261838867558316,1.7781611324416833,-0.16106531996754378
Ridge,2011-2012,latest,2012-02-05,2012-02-05,0.0,9.63,8.68379514645952,0.9462048535404808,-0.0982559557155224
Ridge,2012-2013,latest,2013-02-10,2013-02-24,2.0,9.98,8.699151836293527,1.280848163706473,-0.12834149936938608
Ridge,2013-2014,latest,2014-02-09,2014-02-02,-1.0,6.62,5.650448516498498,0.969551483501502,-0.14645792802137492
Ridge,2014-2015,latest,2015-01-25,2015-02-01,1.0,10.87,11.985385782642158,1.115385782642159,0.10261138754757673
Ridge,2015-2016,latest,2016-02-28,2016-02-21,-1.0,6.14,6.145929653846428,0.005929653846428629,0.0009657416687994509
Ridge,2016-2017,latest,2017-01-01,2017-01-08,1.0,9.57,11.529159426141014,1.9591594261410137,0.20471885330627101
Ridge,2017-2018,latest,2018-01-14,2018-01-28,2.0,14.73,11.92588021693694,2.8041197830630598,-0.1903679418236972
Ridge,2018-2019,latest,2019-02-03,2019-02-03,0.0,14.06,11.687734717774308,2.372265282225692,-0.16872441552103074
Ridge,2019-2020,latest,2020-02-02,2020-02-02,0.0,12.62,10.01821693645102,2.6017830635489787,-0.20616347571703478
Ridge,2020-2021,latest,2020-11-08,2021-01-17,10.0,2.04,5.506932195892484,3.4669321958924844,1.6994765666139628
Ridge,2021-2022,latest,2022-04-03,2022-01-23,-10.0,5.29,6.318583562111485,1.0285835621114847,0.19443923669404248
Ridge,2022-2023,latest,2022-12-04,2022-12-11,1.0,15.72,15.559117027788034,0.1608829722119669,-0.010234285764120032
Ridge,2023-2024,latest,2023-12-31,2023-12-31,0.0,18.45,19.513354327064867,1.063354327064868,0.057634380870724554
Ridge,2024-2025,latest,2025-01-26,2025-01-26,0.0,17.3743081984728,16.165657816192706,1.2086503822800942,-0.06956538173913218
SARIMA,2008-2009,latest,2009-01-25,2009-02-22,4.0,8.23,7.738222893118392,0.49177710688160836,-0.05975420496738862
SARIMA,2009-2010,latest,2009-11-15,2009-11-22,1.0,12.92,11.10631670078608,1.8136832992139205,-0.14037796433544275
SARIMA,2010-2011,latest,2011-02-06,2011-02-06,0.0,11.04,10.04891345290967,0.9910865470903296,-0.08977233216397913
SARIMA,2011-2012,latest,2012-02-05,2012-02-05,0.0,9.63,9.5986976161606,0.031302383839401315,-0.0032505071484321196
SARIMA,2012-2013,latest,2013-02-10,2013-02-24,2.0,9.98,8.702878556561618,1.2771214434383822,-0.1279680805048479
SARIMA,2013-2014,latest,2014-02-09,2014-01-26,-2.0,6.62,5.443372018624194,1.1766279813758063,-0.1777383657667381
SARIMA,2014-2015,latest,2015-01-25,2015-02-01,1.0,10.87,11.420353750230296,0.5503537502302969,0.0506305198003953
SARIMA,2015-2016,latest,2016-02-28,2016-02-21,-1.0,6.14,6.251057346410493,0.11105734641049292,0.01808751570203468
SARIMA,2016-2017,latest,2017-01-01,2017-01-08,1.0,9.57,11.163877059147769,1.5938770591477684,0.16654932697468844
SARIMA,2017-2018,latest,2018-01-14,2018-01-28,2.0,14.73,12.15119588093492,2.5788041190650812,-0.17507156273354252
SARIMA,2018-2019,latest,2019-02-03,2019-02-03,0.0,14.06,12.166588374227796,1.8934116257722042,-0.13466654521850668
SARIMA,2019-2020,latest,2020-02-02,2020-02-02,0.0,12.62,9.738007899134574,2.881992100865425,-0.22836704444258518
